Date,Open,High,Low,Close
01-01-1996,378,380,377.5,380
02-01-1996,380,383.9,376,377.8
03-01-1996,377.8,380,376.25,376.55
04-01-1996,376.55,377,371.5,373.7
05-01-1996,373.7,374.8,371,372.35
08-01-1996,372.35,373,369,372.5
09-01-1996,372.5,372,364,366.3
10-01-1996,366.3,373,368,372.2
11-01-1996,372.2,378.25,370.5,375.35
12-01-1996,375.35,382.45,375,379.9
15-01-1996,379.9,404,375.15,377.7
16-01-1996,377.7,379,374.15,376.85
17-01-1996,376.85,377.75,375,375.15
18-01-1996,375.15,377,368,376.1
19-01-1996,376.1,378,373,376.75
22-01-1996,376.75,381,376,380.05
23-01-1996,380.05,380,369.5,370.05
24-01-1996,370.05,370,355,358.8
25-01-1996,358.8,365,357.1,360.25
29-01-1996,360.25,365,360,361.9
30-01-1996,361.9,366,359,361.05
31-01-1996,361.05,368.5,363,367.75
01-02-1996,367.75,378.25,365.2,378.2
02-02-1996,378.2,397,376,395.4
05-02-1996,395.4,405,386.75,397.5
06-02-1996,397.5,402,385,389.2
07-02-1996,389.2,397,382,395.1
08-02-1996,400,428.8,398,426.6
09-02-1996,426.6,445,425,442
12-02-1996,400,441,400,429.2
13-02-1996,429.2,438.95,421,427.4
14-02-1996,427.4,442,430,430.1
15-02-1996,430.1,432,420.05,429.2
16-02-1996,429.2,424.95,415,417.75
19-02-1996,417.75,424.9,405,410.2
20-02-1996,410.2,414,403.75,411.5
22-02-1996,411.5,425,413,422.55
23-02-1996,422.55,434,419,432.05
26-02-1996,432.05,435,410.65,412.4
27-02-1996,412.4,430,419.05,425.75
28-02-1996,425.75,426.45,421,424.6
29-02-1996,424.6,428,420,422.6
01-03-1996,422.6,425,422.3,423.8
04-03-1996,423.8,429.45,422,427
06-03-1996,427,428,424.5,424.75
07-03-1996,424.75,427.5,420,423
08-03-1996,423,423,418.1,422.05
11-03-1996,422.05,416.5,410.1,412
12-03-1996,412,420,409.35,416.65
13-03-1996,416.65,423,413.25,421.65
14-03-1996,421.65,426.5,416.9,418.35
15-03-1996,418.35,418.75,416.25,417.3
18-03-1996,417.3,419.4,415,419.35
19-03-1996,419.35,417,413.05,415.35
21-03-1996,415.35,422.1,417.25,422
22-03-1996,422,423,420,422.1
25-03-1996,422.1,430,419.95,426.45
26-03-1996,426.45,428.5,422.5,427.2
27-03-1996,427.2,468,430,438.55
28-03-1996,438.55,469.95,439.3,453.4
29-03-1996,453.4,465,440,450.05
01-04-1996,450.05,459,440,454.95
02-04-1996,454.95,459.9,440,446.75
03-04-1996,446.75,454,446,446.45
04-04-1996,464.65,464.65,438,441.25
08-04-1996,441.25,449.95,441.05,443.1
09-04-1996,443.1,449.75,435.5,437
10-04-1996,437,447,440,444.55
11-04-1996,444.55,446,443,445.2
12-04-1996,464.65,464.65,441,444.65
15-04-1996,444.65,459.9,447,457.9
16-04-1996,457.9,469,459.25,465.35
17-04-1996,465.35,488,469,486.05
18-04-1996,486.05,497.9,482,483.9
19-04-1996,486.95,492,483,484.1
22-04-1996,484.1,492,476,480.95
23-04-1996,480.95,490,474.5,483.75
24-04-1996,483.75,501,489,500.1
25-04-1996,510,510,461,477.05
26-04-1996,477.05,498.95,465,479.95
29-04-1996,479.95,475.25,468.9,470.85
30-04-1996,470.85,485,466.2,478.05
01-05-1996,478.05,494.5,487.8,491.05
02-05-1996,491.05,490,482.05,487.05
03-05-1996,487.05,485,477.05,478.4
06-05-1996,478.4,476.2,470,470.65
07-05-1996,470.65,476.5,470.05,471.75
08-05-1996,471.75,478.3,467.55,477.5
09-05-1996,475,476,471.25,472.9
10-05-1996,472.9,467,459,460.5
13-05-1996,460.5,468,453.05,463
14-05-1996,463,466.95,461,465.6
15-05-1996,465.6,489.95,477,487.2
16-05-1996,494,505,492,493.85
17-05-1996,494,496.95,490.25,493.25
20-05-1996,483.1,487.5,479,480.75
21-05-1996,480,482.45,471.3,479.5
22-05-1996,479.5,484.75,480.1,481.15
23-05-1996,481.15,482.3,479,480.5
24-05-1996,480.5,489.8,479.75,484.75
27-05-1996,484.75,485,477.05,480.75
28-05-1996,476,477.55,433,476.1
29-05-1996,481,490,481,489.2
30-05-1996,489.2,491,482.6,484.05
31-05-1996,484.05,486.75,483,484.8
03-06-1996,484.8,492,487.9,490.1
04-06-1996,490.1,499.45,492.3,492.9
05-06-1996,491.05,497.5,490,496.4
06-06-1996,497.95,513.25,497.95,507.9
07-06-1996,506.95,519,504.85,516.8
10-06-1996,520,537.5,515.25,527.25
11-06-1996,528.35,531.85,521,530.2
12-06-1996,534,539,484.95,520.4
13-06-1996,528,534,526.5,532.1
14-06-1996,532.75,539,530,537.05
17-06-1996,538.5,540,528.75,530.2
18-06-1996,528.05,541,526.25,537.5
19-06-1996,532,534,524.5,526.75
20-06-1996,524,529,512.05,527.45
21-06-1996,523,527,519.75,520.6
24-06-1996,521.5,521.5,515.3,518.4
25-06-1996,520.9,520.9,509.25,511.65
26-06-1996,510,514.5,505,508.5
27-06-1996,505,514,505,513.2
28-06-1996,513,522.75,511,515.1
01-07-1996,513.25,517,508.5,510.8
02-07-1996,511,522,508.5,519.5
03-07-1996,505,515.95,501,512.7
04-07-1996,510.5,528,508.5,521.75
05-07-1996,526,532.5,522.3,525.85
08-07-1996,535,535,526,531.15
09-07-1996,530,537,528.25,533.3
10-07-1996,529,533,522.5,529.5
11-07-1996,531.1,534.45,530.3,532.1
12-07-1996,532.1,536.4,531.5,533.4
15-07-1996,529.15,533.6,529.1,532.1
16-07-1996,532.5,533.55,525.15,528
17-07-1996,529.5,550,529.5,547.9
18-07-1996,550,564.75,550,556.25
19-07-1996,570,570,551.25,556.75
22-07-1996,564,564,552.1,556.9
23-07-1996,556.25,558.5,525.25,531.45
24-07-1996,530.5,537.9,514.5,525.55
25-07-1996,525,531,521.05,522.2
26-07-1996,520,524.75,516.4,521.6
29-07-1996,521,526.5,505.1,511.4
30-07-1996,509,509.95,472,502.25
31-07-1996,509,516,492,512.8
01-08-1996,512,517,492.25,493.75
02-08-1996,490.25,496,477.05,493.8
05-08-1996,495,500,490,497.15
06-08-1996,496,508,493,502.6
07-08-1996,502.8,512.4,498.3,500.25
08-08-1996,506.9,506.9,498.25,499.5
09-08-1996,499,504,495.15,500.15
12-08-1996,501,502,495,500.55
13-08-1996,497,501.5,492,493.8
14-08-1996,495.5,495.5,488,490.2
16-08-1996,492,492,466,469.6
19-08-1996,460.1,465.95,452,454.3
20-08-1996,455,463.95,452.55,462.15
21-08-1996,473,483,470.05,480.45
22-08-1996,484.75,492.75,478,490.15
23-08-1996,486,497.75,486,493.95
26-08-1996,494,496.85,493,494.95
27-08-1996,493.2,503,490.55,500.5
28-08-1996,501,503.5,492,501.95
29-08-1996,501.25,503.95,498,498.55
30-08-1996,500,511.75,500,509.25
02-09-1996,519,523,506,517.95
03-09-1996,519,522,491.25,497.95
04-09-1996,498,507.85,495,504.65
05-09-1996,508.85,514.1,505.5,509.9
06-09-1996,510.3,512.9,504,505.8
